순위,영화명,관객수 ,상영횟수 ,등급 ,장르 
1287,반칙왕,9,3,12세이상관람가,코미디
1304,...ing,8,3,12세이상관람가,"드라마,멜로/로맨스"
1304,롤러코스터,8,1,15세이상관람가,코미디
1304,발레 교습소,8,1,15세이상관람가,드라마
1315,늑대소년,7,2,15세이상관람가,"멜로/로맨스,드라마,판타지"
1340,전설의 고향,5,1,12세이상관람가,공포(호러)
1351,관상,4,2,15세이상관람가,"사극,드라마"
1363,괴물,3,2,12세이상관람가,"SF,가족,드라마"
1363,눈부신 하루,3,1,15세이상관람가,드라마
1363,동백꽃,3,2,18세이상관람가,"드라마,멜로/로맨스"
1363,"명성, 그 6일의 기록",3,1,12세이상관람가,다큐멘터리
1376,끝없는 싸움 - 에바다,2,1,15세이상관람가,다큐멘터리
1376,댄서의 순정,2,1,12세이상관람가,드라마
1376,모던보이,2,1,12세이상관람가,"드라마,멜로/로맨스,미스터리"
1376,애국자 게임,2,1,15세이상관람가,다큐멘터리
1376,약장수,2,1,15세이상관람가,드라마
1376,장애인 이동권 투쟁보고서-버스를 타자,2,1,15세이상관람가,다큐멘터리
103,나를 기억해,"141,222","14,322",청소년관람불가,"미스터리,범죄,스릴러"
94,미옥,"242,737","18,143",청소년관람불가,"범죄,액션"
75,리얼,"470,165","25,141",청소년관람불가,액션
1403,이 사랑도 전해질까요,1,1,전체관람가,"멜로/로맨스,드라마"
71,버닝,"528,435","26,514",청소년관람불가,미스터리
66,상류사회,"768,442","41,725",청소년관람불가,드라마
60,불한당: 나쁜 놈들의 세상,"954,444","38,922",청소년관람불가,"범죄,액션,드라마"
1403,탐정사무소-그놈의 얼굴,1,1,15세이상관람가,"스릴러,드라마,코미디"
56,바람 바람 바람,"1,194,229","57,939",청소년관람불가,코미디
54,악녀,"1,208,081","46,070",청소년관람불가,액션
1893,개그맨,0,5,고등학생이상관람가,"드라마,코미디"
1893,걷기왕,0,2,12세이상관람가,드라마
1893,기막힌 사내들,0,2,15세이상관람가,"드라마,코미디"
48,브이아이피,"1,373,316","44,650",청소년관람불가,"범죄,드라마"
1893,"나의 사랑, 나의 신부",0,2,고등학생이상관람가,"드라마,코미디"
1893,달은...해가 꾸는 꿈,0,1,고등학생이상관람가,"드라마,멜로/로맨스,범죄"
1893,동감,0,2,12세이상관람가,"멜로/로맨스,판타지"
1893,미술관 옆 동물원,0,2,15세이상관람가,"드라마,멜로/로맨스"
1893,바보들의 행진,0,2,12세이상관람가,코미디
38,마약왕,"1,832,842","42,363",청소년관람불가,"범죄,드라마"
1893,스플릿,0,2,15세이상관람가,드라마
1893,아름다운 청년 전태일,0,1,고등학생이상관람가,드라마
1893,아프리카 - 물의 전쟁,0,1,전체관람가,다큐멘터리
1893,야행,0,2,12세이상관람가,"드라마,멜로/로맨스"
1893,양산도,0,1,전체관람가,"드라마,사극"
23,프리즌,"2,931,897","89,024",청소년관람불가,"범죄,액션"
1893,왕십리,0,2,12세이상관람가,"드라마,멜로/로맨스"
1893,용서받지 못한 자,0,1,15세이상관람가,드라마
6,범죄도시,"6,880,546","149,389",청소년관람불가,"범죄,액션"
1893,은밀하게 위대하게,0,1,15세이상관람가,"액션,코미디,드라마"
1893,인정사정 볼 것 없다,0,2,12세이상관람가,액션
1893,조용한 가족,0,2,18세이상관람가,"드라마,미스터리,코미디"
1893,죽음의 다섯 손가락,0,2,12세이상관람가,액션
1893,처녀들의 저녁식사,0,1,18세이상관람가,"드라마,멜로/로맨스"
1893,춘향뎐(春香傳),0,2,12세이상관람가,"드라마,사극"
1893,태양은 없다,0,2,18세이상관람가,"드라마,액션"
1893,퇴마: 무녀굴,0,1,15세이상관람가,"공포(호러),스릴러"
1893,해피엔드,0,2,18세이상관람가,"멜로/로맨스,스릴러"
1893,혈맥,0,2,전체관람가,드라마
