"교직 경력","학교 교육과정에서 진로교육 시수가 현재보다 확대되어야 한다","학습 또는 성적지도 수행 정도","학교생활 지도(창체활동 설계, 교우관계, 부적응 등) 수행 정도","진학.입시 정보 제공(상급학교 및 학과 정보) 수행 정도","진로계획 및 준비 지도(진로의사결정, 갈등 포함) 수행 정도","자기이해 지도(꿈, 흥미, 적성 파악) 수행 정도","직업정보 제공 수행 정도","진로체험 활동 지원 수행 정도"
20,5,5,5,4,5,5,4,4
20,5,5,5,5,5,5,4,4
21,3,4,4,3,4,4,3,3
21,4,5,5,5,5,5,3,4
21,5,4,4,4,4,3,3,3
22,1,4,4,4,4,5,2,2
22,1,5,5,4,4,4,3,3
22,3,4,4,5,4,4,4,3
22,3,5,4,3,4,3,4,3
22,3,5,5,5,5,5,4,4
23,3,3,3,3,3,3,3,3
23,3,4,4,3,4,5,3,3
23,3,4,4,4,3,4,3,2
23,3,4,4,4,4,3,3,3
23,4,5,5,4,4,4,3,3
24,4,4,4,4,4,4,3,3
24,5,5,5,3,3,3,1,1
25,3,4,3,4,4,3,4,3
25,3,4,4,3,3,4,3,3
25,3,5,5,4,4,3,3,2
25,3,5,5,5,5,4,5,4
25,3,5,5,5,5,5,5,3
25,4,4,4,4,4,4,4,4
25,5,5,4,4,4,4,4,3
25,5,5,5,5,5,5,5,5
25,5,5,5,5,5,5,5,5
26,3,3,5,4,3,3,4,2
26,3,4,4,4,4,4,3,3
26,3,4,4,4,4,5,4,3
26,3,4,5,3,4,4,3,4
26,3,5,5,4,5,5,3,3
26,4,4,4,3,3,3,3,3
26,4,4,4,4,4,4,4,4
26,4,5,4,3,3,4,3,3
26,4,5,5,5,5,5,4,4
27,3,4,4,3,4,4,3,3
27,3,4,5,4,4,4,3,4
27,4,4,4,3,4,3,4,3
27,4,4,4,4,4,4,3,5
27,4,4,4,5,5,5,5,5
27,4,4,5,4,4,5,5,4
28,3,3,3,3,3,3,3,3
28,3,4,4,4,5,4,4,4
28,3,5,4,4,4,4,4,3
28,3,5,4,5,4,4,3,4
28,3,5,5,4,4,4,2,2
28,3,5,5,5,5,4,4,4
28,4,4,5,3,4,4,3,3
29,3,3,5,4,4,4,4,3
29,3,4,4,5,4,3,3,4
3,2,5,5,5,5,5,5,5
3,3,3,4,3,4,3,3,3
3,3,4,4,3,4,4,4,3
3,3,4,4,4,4,5,3,3
3,3,4,5,4,4,3,5,3
3,3,4,5,4,4,4,4,3
3,3,5,4,3,4,4,5,3
3,3,5,5,4,4,4,2,2
3,4,4,4,3,3,3,2,2
3,4,4,4,3,4,4,3,3
3,4,4,4,4,4,3,4,4
3,4,4,5,4,3,4,4,3
3,4,5,5,3,4,4,1,1
3,5,4,4,2,4,4,4,4
3,5,4,4,4,4,4,3,3
3,5,4,5,3,3,3,3,3
3,5,4,5,3,5,5,4,3
30,1,5,5,4,4,3,3,3
30,3,5,5,5,4,5,4,3
30,4,3,3,4,4,3,4,4
30,4,3,4,4,4,3,3,3
30,4,4,3,4,4,3,3,2
30,4,4,4,4,4,4,3,3
30,4,5,5,4,4,4,2,3
30,5,4,3,4,4,4,4,3
30,5,4,4,4,4,3,3,3
30,5,4,5,5,5,4,4,4
30,5,5,5,4,4,5,4,4
31,2,4,4,4,4,4,4,3
31,3,4,4,3,4,4,4,4
31,3,4,4,4,3,3,3,3
31,3,4,5,4,4,4,4,4
31,4,4,5,4,5,5,5,5
31,4,5,4,4,4,4,4,3
31,4,5,4,4,4,4,4,4
31,4,5,5,5,4,4,3,3
31,5,3,3,4,3,3,4,2
31,5,5,5,5,5,5,3,4
31,5,5,5,5,5,5,5,5
32,2,4,4,3,3,4,3,3
32,3,3,2,2,2,2,2,2
32,3,4,4,2,3,3,3,3
32,3,5,4,5,4,4,4,5
32,3,5,5,5,4,4,4,3
32,4,4,4,5,4,4,4,4
32,5,3,4,3,3,3,3,3
32,5,3,5,3,5,4,4,4
32,5,4,4,4,3,3,3,3
32,5,4,5,3,5,5,5,4
33,2,5,5,4,4,3,3,2
33,3,3,3,3,3,3,3,2
33,3,4,5,3,4,2,3,2
33,4,4,5,3,5,5,3,3
34,3,4,4,3,4,4,4,3
34,3,4,5,3,5,4,5,5
34,3,4,5,4,5,5,4,3
34,3,5,4,5,4,4,4,4
34,4,4,4,4,4,4,4,4
34,4,5,4,4,4,4,4,4
34,5,5,5,3,4,3,3,3
35,3,4,5,4,5,4,4,4
35,4,5,5,3,5,5,5,5
36,2,4,5,4,5,4,3,3
36,4,4,4,3,4,3,3,3
36,4,5,5,5,3,3,3,3
36,5,3,3,3,3,3,3,3
37,3,4,4,3,3,4,3,3
4,3,3,3,4,3,3,4,3
4,3,4,3,3,3,4,3,3
4,3,4,3,3,4,4,4,4
4,3,4,5,3,4,4,3,3
4,3,5,5,5,5,5,5,3
4,4,3,4,3,3,3,3,4
4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4
4,4,4,4,4,5,4,3,3
4,4,4,5,5,4,5,4,4
4,4,5,5,5,5,4,3,3
4,5,3,3,3,3,3,3,3
4,5,4,4,4,4,4,4,4
4,5,4,4,4,4,4,4,4
4,5,5,5,3,4,4,3,4
5,2,4,4,4,4,4,4,4
5,2,4,5,4,4,4,3,3
5,2,4,5,4,4,4,4,4
5,2,5,5,4,4,4,4,4
5,2,5,5,5,5,5,3,3
5,3,2,4,4,3,3,2,2
5,3,4,4,4,3,3,3,4
5,3,4,4,4,4,3,3,3
5,3,4,4,4,4,4,1,2
5,3,4,4,4,4,4,2,2
5,3,4,4,4,4,4,3,3
5,3,4,5,4,3,3,3,3
5,4,3,5,3,4,4,3,2
5,4,4,4,3,4,5,3,3
5,4,4,4,4,4,4,3,3
5,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4
5,4,4,5,3,3,3,2,2
5,4,5,4,5,5,5,4,4
5,4,5,5,4,4,3,3,2
5,4,5,5,5,4,3,3,2
5,4,5,5,5,4,5,3,2
5,4,5,5,5,5,5,4,5
5,5,4,5,5,4,4,5,4
5,5,5,5,4,3,4,3,3
5,5,5,5,5,5,5,5,5
6,2,5,4,4,4,4,3,3
6,3,3,3,3,3,3,3,3
6,3,4,3,4,4,4,2,4
6,3,4,4,3,3,4,3,3
6,3,4,4,3,4,4,3,3
6,3,4,4,4,4,4,3,3
6,3,4,5,3,4,4,3,4
6,3,5,4,4,4,3,2,2
6,3,5,4,4,4,4,3,3
6,3,5,4,4,4,4,4,3
6,3,5,5,4,5,5,3,3
6,3,5,5,5,5,4,4,3
6,3,5,5,5,5,5,4,4
6,4,3,4,5,4,4,5,4
6,4,4,3,4,3,3,3,4
6,4,4,4,3,3,4,3,3
6,4,4,4,4,4,4,2,2
6,4,4,4,4,4,4,3,2
6,4,4,4,4,5,5,3,4
6,4,4,4,4,5,5,4,4
6,4,4,5,4,4,4,3,2
6,4,5,5,5,5,4,4,4
6,4,5,5,5,5,5,5,5
6,5,3,3,3,3,3,3,3
6,5,4,4,4,4,4,4,4
6,5,4,4,4,4,5,4,3
6,5,5,5,3,5,5,2,2
6,5,5,5,5,4,4,4,4
6,5,5,5,5,5,5,4,5
6,5,5,5,5,5,5,5,5
6,5,5,5,5,5,5,5,5
7,2,4,4,4,4,3,3,3
7,3,3,4,3,3,4,3,3
7,3,4,4,4,3,3,2,4
7,3,4,4,4,4,4,4,3
7,3,4,5,3,3,4,3,3
7,3,5,4,4,4,4,4,3
7,3,5,5,4,5,5,2,2
7,4,4,4,3,3,3,3,3
7,4,4,4,3,4,3,3,3
7,4,4,4,5,4,3,4,3
7,4,4,4,5,5,5,4,5
7,4,4,5,4,4,4,4,3
7,4,5,5,4,4,3,2,2
7,5,4,4,3,4,5,4,4
7,5,5,5,4,2,1,3,1
7,5,5,5,4,4,4,4,3
7,5,5,5,4,5,5,4,4
7,5,5,5,4,5,5,5,5
7,5,5,5,5,5,5,5,3
7,5,5,5,5,5,5,5,5
8,3,4,4,4,3,5,4,3
8,3,4,4,4,4,4,3,3
8,3,4,4,4,4,4,4,4
8,4,4,4,3,3,3,3,2
8,4,4,4,4,4,4,3,3
8,4,4,4,4,4,4,4,4
8,4,4,5,4,4,4,3,2
8,4,4,5,4,4,4,4,4
