,순위,영화명,관객수 ,평점,상영횟수 ,대표국적 ,등급 ,장르 
213,42,인크레더블 2,"3,033,052",9.22,"70,934",미국,전체관람가,"애니메이션,액션,어드벤처,코미디,가족"
214,41,캐리비안의 해적: 죽은 자는 말이 없다,"3,049,894",8.29,"85,225",미국,12세이상관람가,"액션,어드벤처,판타지,코미디"
215,40,탐정: 리턴즈,"3,152,872",8.4,"107,907",한국,15세이상관람가,"코미디,범죄"
216,39,마녀,"3,189,091",8.22,"90,843",한국,15세이상관람가,"미스터리,액션"
217,38,아이 캔 스피크,"3,282,271",9.38,"93,061",한국,12세이상관람가,코미디
218,37,슈퍼배드 3,"3,324,874",8.69,"59,388",미국,전체관람가,애니메이션
219,36,그것만이 내 세상,"3,419,753",8.95,"95,432",한국,12세이상관람가,"코미디,드라마"
220,35,코코,"3,513,114",8.98,"85,934",미국,전체관람가,애니메이션
221,34,분노의 질주: 더 익스트림,"3,653,238",8.96,"113,241",미국,15세이상관람가,"액션,범죄,스릴러"
222,33,너의 이름은.,"3,675,834",8.8,"84,176",일본,12세이상관람가,"애니메이션,드라마,멜로/로맨스"
223,32,미이라,"3,689,325",2.85,"105,228",미국,15세이상관람가,"액션,어드벤처,판타지"
224,31,국가부도의 날,"3,749,076",8.12,"100,832",한국,12세이상관람가,드라마
225,30,데드풀 2,"3,784,602",8.69,"113,288",미국,청소년관람불가,"액션,어드벤처,코미디,SF"
226,29,암수살인,"3,789,321",8.33,"126,127",한국,15세이상관람가,"범죄,드라마"
227,28,남한산성,"3,849,129",8.11,"71,102",한국,15세이상관람가,"사극,드라마"
228,27,아쿠아맨,"3,875,963",10,"59,099",미국,12세이상관람가,액션
229,26,베놈,"3,888,096",6.07,"116,149",미국,15세이상관람가,"액션,SF,스릴러"
230,25,꾼,"4,018,341",7.63,"117,419",한국,15세이상관람가,범죄
231,24,강철비,"4,452,740",4.98,"80,358",한국,15세이상관람가,"액션,드라마"
232,23,토르: 라그나로크,"4,858,572",8.85,"137,496",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
233,22,킹스맨: 골든 서클,"4,945,484",8.36,"95,922",미국,청소년관람불가,"액션,어드벤처,코미디"
234,21,공작,"4,974,520",6.84,"99,001",한국,12세이상관람가,드라마
235,20,독전,"5,063,684",7.53,"140,007",한국,15세이상관람가,"범죄,액션"
236,19,미녀와 야수,"5,138,328",8.78,"140,561",미국,전체관람가,"멜로/로맨스,판타지,뮤지컬"
237,18,완벽한 타인,"5,293,971",8.61,"143,063",한국,15세이상관람가,"드라마,코미디"
238,17,더 킹,"5,317,693",8.09,"107,983",한국,15세이상관람가,"범죄,드라마"
239,16,블랙 팬서,"5,399,227",10,"119,170",미국,12세이상관람가,"액션,드라마,SF"
240,15,안시성,"5,440,186",7.99,"110,439",한국,12세이상관람가,"사극,액션"
241,14,앤트맨과 와스프,"5,448,134",8.62,"148,244",미국,12세이상관람가,"액션,어드벤처,SF"
242,13,청년경찰,"5,653,444",8.26,"118,547",한국,15세이상관람가,액션
243,12,쥬라기 월드: 폴른 킹덤,"5,661,128",8,"144,779",미국,12세이상관람가,"액션,어드벤처,SF"
244,11,미션 임파서블: 폴아웃,"6,584,915",9.12,"101,374",미국,15세이상관람가,"액션,스릴러"
245,10,군함도,"6,592,151",5.3,"108,775",한국,15세이상관람가,"액션,드라마"
246,9,범죄도시,"6,880,546",9.52,"149,389",한국,청소년관람불가,"범죄,액션"
247,8,1987,"7,232,387",9.23,"138,226",한국,15세이상관람가,드라마
248,7,스파이더맨: 홈 커밍,"7,258,678",8.32,"164,448",미국,12세이상관람가,"액션,어드벤처,SF"
249,6,공조,"7,817,654",8.27,"142,991",한국,15세이상관람가,액션
250,5,보헤미안 랩소디,"9,360,461",9.42,"206,409",미국,12세이상관람가,드라마
251,4,어벤져스: 인피니티 워,"11,212,710",9.38,"240,501",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
252,3,택시운전사,"12,189,195",9.03,"184,145",한국,15세이상관람가,드라마
253,2,신과함께-인과 연,"12,274,996",7.71,"179,981",한국,12세이상관람가,"판타지,드라마"
254,1,신과함께-죄와 벌,"14,411,502",7.83,"213,262",한국,12세이상관람가,"판타지,드라마"
