,성별,석차,계열석차백분율,1학년 1학기,1학년 2학기,1학년 전학기,2학년 1학기,2학년 2학기,2학년 전학기,전학년
21,여,85,25.53,3.92,3.72,3.82,3.87,3.7,3.78,3.8
41,남,86,25.83,3.64,3.48,3.56,0,4.35,4.35,3.81
624,여,87,26.13,3.68,3.84,3.76,4.22,3.65,3.93,3.84
217,여,88,26.43,3.6,4,3.8,4.04,0,4.04,3.88
112,여,89,26.73,3.8,3.68,3.74,4.3,3.78,4.04,3.89
614,여,90,27.03,3.6,3.84,3.72,4.13,4.04,4.09,3.9
423,여,91,27.33,4.08,3.88,3.98,3.96,3.78,3.87,3.93
327,여,92,27.63,3.56,4.28,3.92,4,3.91,3.96,3.94
62,여,92,27.63,4,3.92,3.96,4.09,3.74,3.91,3.94
25,여,94,28.23,4.28,3.64,3.96,3.91,0,3.91,3.95
1112,남,95,28.53,3.68,3.56,3.62,4.17,4.48,4.33,3.96
918,여,96,28.83,4.08,4.16,4.12,3.96,3.78,3.87,4
57,여,97,29.13,4.44,4.04,4.24,3.61,3.91,3.76,4.01
39,여,98,29.43,4,4.32,4.16,3.87,3.87,3.87,4.02
411,남,99,29.73,3.96,3.96,3.96,4.43,3.87,4.15,4.05
1011,남,99,29.73,4.08,4.24,4.16,3.74,4.13,3.93,4.05
14,여,101,30.33,4,4.44,4.22,4.04,3.83,3.93,4.08
91,여,101,30.33,3.84,3.88,3.86,3.52,5.13,4.33,4.08
610,남,103,30.93,3.4,3.92,3.66,0,5.04,5.04,4.1
86,남,257,77.18,7.16,6.64,6.9,6.22,5.96,6.09,6.51
1015,남,105,31.53,4.12,4.2,4.16,0,4,4,4.11
66,남,106,31.83,4.2,4.04,4.12,0,4.13,4.13,4.12
128,여,107,32.13,4,3.76,3.88,4.43,4.48,4.46,4.16
76,여,107,32.13,4.4,4.6,4.5,3.83,3.74,3.78,4.16
1010,남,107,32.13,4.56,3.72,4.14,4.17,4.17,4.17,4.16
56,여,110,33.03,4.2,3.76,3.98,4.61,4.22,4.41,4.19
625,여,111,33.33,4,4.28,4.14,4.83,3.78,4.3,4.22
912,여,112,33.63,4.56,4.72,4.64,3.74,3.91,3.83,4.25
87,남,205,61.56,5.64,5.12,5.38,5.39,5.83,5.61,5.49
15,여,114,34.23,4.72,4.28,4.5,4.17,3.87,4.02,4.27
315,남,115,34.53,4.16,5,4.58,3.7,4.22,3.96,4.28
88,여,103,30.93,3.72,4.44,4.08,4.13,4.13,4.13,4.1
117,남,116,34.83,3.96,4.4,4.18,4.17,4.7,4.43,4.3
34,여,118,35.44,4.76,3.96,4.36,4.35,4.17,4.26,4.31
48,여,119,35.74,4.76,4.08,4.42,4.17,4.26,4.22,4.32
105,남,120,36.04,4.12,3.96,4.04,4.57,4.74,4.65,4.33
616,여,121,36.34,4.36,4.32,4.34,0,4.39,4.39,4.36
1115,여,122,36.64,4.16,4.28,4.22,4.48,4.61,4.54,4.38
18,여,123,36.94,4.44,4.44,4.44,4.26,4.48,4.37,4.41
73,여,124,37.24,4.56,4.68,4.62,4.39,4,4.2,4.42
1213,여,124,37.24,4.6,4.72,4.66,3.91,0,3.91,4.42
123,여,126,37.84,4.12,4.24,4.18,4.74,4.65,4.7,4.43
714,여,127,38.14,4.24,4.68,4.46,4.52,4.35,4.43,4.45
211,남,128,38.44,4.84,4.76,4.8,4.3,3.96,4.13,4.48
114,여,129,38.74,4.48,4.76,4.62,4.09,4.61,4.35,4.49
613,남,130,39.04,4.24,4.4,4.32,0,4.91,4.91,4.51
512,여,131,39.34,4.12,4.72,4.42,4.74,0,4.74,4.52
89,남,113,33.93,4.24,3.8,4.02,4.52,4.52,4.52,4.26
810,여,251,75.38,6,5.92,5.96,7,6.43,6.72,6.32
1113,여,134,40.24,4.68,4.56,4.62,4.13,4.78,4.46,4.54
1024,남,135,40.54,4.64,4.32,4.48,0,4.74,4.74,4.56
811,여,146,43.84,5.16,4.36,4.76,4.57,4.74,4.65,4.71
612,남,137,41.14,4.76,4.6,4.68,4.52,4.57,4.54,4.61
812,여,116,34.83,5.04,4.44,4.74,3.96,3.7,3.83,4.3
17,여,139,41.74,4.72,4.4,4.56,4.83,0,4.83,4.64
94,여,139,41.74,4.28,4.64,4.46,5.04,0,5.04,4.64
513,남,141,42.34,4.92,4.48,4.7,4.57,0,4.57,4.66
515,여,141,42.34,5.2,4.64,4.92,4.61,4.13,4.37,4.66
711,여,143,42.94,4.4,5.32,4.86,4.26,0,4.26,4.67
422,여,144,43.24,5.08,4.36,4.72,5.22,4.04,4.63,4.68
113,남,145,43.54,4.92,4.76,4.84,4.39,4.65,4.52,4.69
813,남,153,45.95,5.36,4.92,5.14,4.3,4.48,4.39,4.78
101,남,146,43.84,4.76,4.96,4.86,0,4.39,4.39,4.71
325,여,148,44.44,4.88,4.68,4.78,4.7,4.61,4.65,4.72
626,남,149,44.74,3.96,4.52,4.24,4.65,5.87,5.26,4.73
721,여,150,45.05,5.28,5.32,5.3,4.3,3.96,4.13,4.74
318,여,151,45.35,5.28,4.56,4.92,4.48,4.7,4.59,4.76
118,남,152,45.65,5.24,4.8,5.02,4.43,4.57,4.5,4.77
814,여,181,54.35,5.24,5.04,5.14,5.52,5.04,5.28,5.21
1018,남,153,45.95,4.28,4.72,4.5,0,5.39,5.39,4.78
713,남,155,46.55,4.8,5.16,4.98,4.57,4.61,4.59,4.79
12,여,156,46.85,4.44,4.76,4.6,5,5.09,5.04,4.81
210,여,157,47.15,4.88,4.8,4.84,4.83,0,4.83,4.84
725,남,157,47.15,5.12,4.88,5,4.48,0,4.48,4.84
216,여,159,47.75,5,4.88,4.94,4.7,0,4.7,4.86
